"movieId","genres","Unnamed: 3","rating","imdbId","tmdbId","Year","Title Only","Main Genre","Director","Is Animated"
"1","Adventure|Animation|Children|Comedy|Fantasy","","4","114709","862","1995","Toy Story","Adventure","John Lasseter","1"
"2","Adventure|Children|Fantasy","","4","113497","8844","1995","Jumanji","Adventure","Joe Johnston","0"
"3","Comedy|Romance","","4","113228","15602","1995","Grumpier Old Men","Comedy","Howard Deutch","0"
"4","Comedy|Drama|Romance","","5","114885","31357","1995","Waiting to Exhale","Comedy","Forest Whitaker","0"
"5","Comedy","","5","113041","11862","1995","Father of the Bride Part II","Comedy","Charles Shyer","0"
"6","Action|Crime|Thriller","","3","113277","949","1995","Heat","Action","Michael Mann","0"
"7","Comedy|Romance","","5","114319","11860","1995","Sabrina","Comedy","Sydney Pollack","0"
"8","Adventure|Children","","4","112302","45325","1995","Tom and Huck","Adventure","Peter Hewitt","0"
"9","Action","","5","114576","9091","1995","Sudden Death","Action","Peter Hyams","0"
"10","Action|Adventure|Thriller","","5","113189","710","1995","GoldenEye","Action","Martin Campbell","0"
"11","Comedy|Drama|Romance","","5","112346","9087","1995","American President, The","Comedy","Rob Reiner","0"
"12","Comedy|Horror","","5","112896","12110","1995","Dracula: Dead and Loving It","Comedy","Mel Brooks","0"
"13","Adventure|Animation|Children","","3","112453","21032","1995","Balto","Adventure","Simon Wells","1"
"14","Drama","","5","113987","10858","1995","Nixon","Drama","Oliver Stone","0"
"15","Action|Adventure|Romance","","4","112760","1408","1995","Cutthroat Island","Action","Renny Harlin","0"
"16","Crime|Drama","","5","112641","524","1995","Casino","Crime","Martin Scorsese","0"
"17","Drama|Romance","","3","114388","4584","1995","Sense and Sensibility","Drama","Ang Lee","0"
"18","Comedy","","3","113101","5","1995","Four Rooms","Comedy","Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino","0"
"19","Comedy","","5","112281","9273","1995","Ace Ventura: When Nature Calls","Comedy","Steve Oedekerk","0"
"20","Action|Comedy|Crime|Drama|Thriller","","4","113845","11517","1995","Money Train","Action","Joseph Ruben","0"
"21","Comedy|Crime|Thriller","","4","113161","8012","1995","Get Shorty","Comedy","Barry Sonnenfeld","0"
"22","Crime|Drama|Horror|Mystery|Thriller","","5","112722","1710","1995","Copycat","Crime","Jon Amiel","0"
"23","Action|Crime|Thriller","","4","112401","9691","1995","Assassins","Action","Richard Donner","0"
